Genre,Publication Date,Author,Title,Rating,Ratings Count,Reviews Count,Auth_Books,Auth_Followers
"Fiction,Classics,German,Literature,Philosophy,Literature,Novels20th,Century,...more",1930-01-01,Robert Musil,The Man Without Qualities: Volume I,4.27,3661.0,325.0,255.0,1184.0
"Fiction,Classics,Literature,Novels,American,Short,Stories20th,Century,...more",1939-05-16,Nathanael West,Miss Lonelyhearts / The Day of the Locust,3.9,10233.0,654.0,20.0,350.0
"Fiction,Classics,War,Historical Fiction,Literature,Novels,World,War,I,I,...more",1948-01-01,Norman Mailer,The Naked and the Dead,3.95,25661.0,1038.0,285.0,1308.0
"Fiction,Classics,Literature,Historical Fiction,Novels,American,Literary,Fiction,...more",1957-01-01,James Agee,A Death in the Family,3.89,16771.0,1544.0,47.0,272.0
"Fiction,Historical Fiction,War,China,Classics,Historical World,War,I,I,...more",1984-09-13,J.G. Ballard,Empire of the Sun,3.98,21048.0,1224.0,407.0,3806.0
"Fiction,Classics,Southern,Gothic,Novels,Literature,Southern,Gothic,...more",1952-05-15,Flannery O'Connor,Wise Blood,3.83,34406.0,3332.0,198.0,4879.0
"Fiction,Classics,Historical Fiction,Literature,Nobel,Prize,Novels,Scandinavian,Literature,...more",1934-01-01,Halldór Laxness,Independent People,4.13,12870.0,1832.0,162.0,704.0
"Classics,Fiction,Literature,Historical Fiction,American,Novels,Nobel,Prize,...more",1920-10-23,Sinclair Lewis,Main Street,3.78,26085.0,1404.0,369.0,985.0
"Fiction,Historical Fiction,War,Italy,World,War,I,Historical Novels,...more",1991-01-01,Mark Helprin,A Soldier of the Great War,4.33,7658.0,845.0,38.0,1502.0
"Fiction,Classics,Africa,Travel,Literature,Novels,Historical Fiction,...more",1949-01-01,Paul Bowles,The Sheltering Sky,3.89,28866.0,2214.0,206.0,813.0
"Fiction,Japan,Japanese,Literature,Classics,Magical,Realism,Literature,Novels,...more",1962-06-08,Kōbō Abe,The Woman in the Dunes,3.89,34238.0,3179.0,193.0,1863.0
"Fiction,Fantasy,Canada,Classics,Novels,Literature,Mystery,...more",1975-01-01,Robertson Davies,The Deptford Trilogy,4.32,8132.0,425.0,163.0,858.0
"Fiction,Classics,Literature,Novels,Southern,Literary,Fiction,American,...more",1961-01-01,Walker Percy,The Moviegoer,3.65,29218.0,2571.0,68.0,739.0
"Historical Fiction,Fiction,India,Classics,Historical20th,Century,Literature,...more",1966-01-01,Paul Scott,The Jewel in the Crown,4.14,5992.0,456.0,123.0,147.0
"Fiction,Classics,Humor,British,Literature,Literature,Novels,Comedy,...more",1954-01-01,Kingsley Amis,Lucky Jim,3.75,30338.0,2323.0,150.0,499.0
"Historical Fiction,Fiction,Holocaust,Historical World,War,I,I,War,Jewish,...more",1961-01-01,Leon Uris,Mila 18,4.31,25990.0,674.0,91.0,1403.0
"Nonfiction,Nature,Science,Environment,Classics,Philosophy,Essays,...more",1949-01-01,Aldo Leopold,A Sand County Almanac and Sketches Here and There,4.3,33035.0,2180.0,66.0,783.0
"Poetry,Classics,Literature,Fiction,American,Literary,Fiction,Anthologies,...more",1991-10-01,E.E. Cummings,E.E. Cummings: Complete Poems 1904-1962,4.35,21368.0,242.0,273.0,3903.0
"Fiction,Classics,Thriller,Horror,Adventure,Literature,Novels,...more",1970-01-01,James Dickey,Deliverance,3.89,32885.0,1676.0,125.0,195.0
"History,Philosophy,Nonfiction,Classics,Sociology,German,Literature,World,History,...more",1918-01-01,Oswald Spengler,The Decline of the West,4.06,2027.0,180.0,67.0,526.0
"Fiction,Classics,New,York,American,Novels,Literature,Contemporary,...more",1964-01-01,Hubert Selby Jr.,Last Exit to Brooklyn,3.92,27749.0,1621.0,37.0,2172.0
"Short,Stories,Fiction,Classics,Literature,American,Literary,Fiction,The,United,States,Of,America,...more",1978-01-01,John Cheever,The Stories of John Cheever,4.26,15319.0,867.0,289.0,969.0
"Plays,Classics,Drama,Historical Fiction,Fiction,Literature,School,...more",1960-01-01,Robert Bolt,A Man for All Seasons: A Play in Two Acts,3.89,14252.0,628.0,63.0,45.0
"Fiction,German,Literature,Classics,Novels,Germany,Literature,Nobel,Prize,...more",1963-01-01,Heinrich Böll,The Clown,3.94,29531.0,2022.0,596.0,1560.0
"Fiction,Contemporary,Canada,Novels,Literature,Literary,Fiction,Classics,...more",1991-01-01,Douglas Coupland,Generation X: Tales for an Accelerated Culture,3.74,29281.0,1339.0,84.0,4530.0
"Fiction,Classics,Russia,Russian,Literature,Historical Fiction,Literature,War,...more",1928-01-01,Mikhail Sholokhov,And Quiet Flows the Don,4.1,12434.0,574.0,274.0,456.0
"Fiction,Feminism,Classics,Womens,Novels,Contemporary,Literature,...more",1977-05-01,Marilyn French,The Women's Room,3.99,8996.0,726.0,44.0,254.0
"Fiction,Russia,Classics,Historical Fiction,Russian,Literature,War,Literature,...more",1960-01-01,Vasily Grossman,Life and Fate,4.45,13506.0,1562.0,52.0,851.0
"Historical Fiction,Art,Fiction,Classics,Historical Biography,Memoir,Novels,...more",1934-01-01,Irving Stone,Lust for Life,4.26,29479.0,1950.0,92.0,1249.0
"Classics,Fiction,Literature,Historical Fiction20th,Century,British,Literature,Novels,...more",1915-03-17,Ford Madox Ford,The Good Soldier,3.68,27106.0,2146.0,411.0,334.0
"Poetry,Classics,Feminism,Fiction,Womens,American,Literature,...more",1956-01-01,Edna St. Vincent Millay,Collected Poems,4.24,8512.0,190.0,336.0,1033.0
"Short,Stories,Fiction,Classics,Literature,Southern,Gothic,Southern,American,...more",1965-01-01,Flannery O'Connor,Everything That Rises Must Converge: Stories,4.23,21061.0,1595.0,198.0,4879.0
"Fiction,Humor,Short,Stories,Literature,American,Contemporary,Adult,Fiction,...more",1985-01-01,Garrison Keillor,Lake Wobegon Days,3.64,8129.0,663.0,298.0,801.0
"Fiction,Polish,Literature,Classics,School Poland,Novels,Literature,...more",1937-10-01,Witold Gombrowicz,Ferdydurke,3.78,18625.0,1312.0,102.0,941.0
"Fiction,Classics,War,Novels,American,Psychology,Literature,...more",1978-12-12,William Wharton,Birdy,4.02,7594.0,409.0,34.0,248.0
"Fiction,Classics,Fantasy,Adventure,Historical Fiction,Literature,Novels,...more",1933-01-01,James Hilton,Lost Horizon,3.95,23058.0,2118.0,192.0,251.0
