Genre,Publication Date,Author,Title,Rating,Ratings Count,Reviews Count,Auth_Books,Auth_Followers
"Fiction,Classics,German,Literature,Philosophy,Literature,Novelsth,Century,more",1930-01-01,Robert Musil,The Man Without Qualities Volume,4.27,3661,325,255.0,1184.0
"Fiction,Classics,Literature,Novels,American,Short,Storiesth,Century,more",1939-05-16,Nathanael West,Miss Lonelyhearts The Day the Locust,3.9,10233,654,20.0,350.0
"Fiction,Classics,War,Historical Fiction,Literature,Novels,World,War,I,I,more",1948-01-01,Norman Mailer,The Naked and the Dead,3.95,25661,1038,285.0,1308.0
"Fiction,Classics,Literature,Historical Fiction,Novels,American,Literary,Fiction,more",1957-01-01,James Agee,Death the Family,3.89,16771,1544,47.0,272.0
"Fiction,Historical Fiction,War,China,Classics,Historical World,War,I,I,more",1984-09-13,Ballard,Empire the Sun,3.98,21048,1224,407.0,3806.0
"Fiction,Classics,Southern,Gothic,Novels,Literature,Southern,Gothic,more",1952-05-15,Flannery Connor,Wise Blood,3.83,34406,3332,198.0,4879.0
"Fiction,Classics,Historical Fiction,Literature,Nobel,Prize,Novels,Scandinavian,Literature,more",1934-01-01,Halld r Laxness,Independent People,4.13,12870,1832,162.0,704.0
"Classics,Fiction,Literature,Historical Fiction,American,Novels,Nobel,Prize,more",1920-10-23,Sinclair Lewis,Main Street,3.78,26085,1404,369.0,985.0
"Fiction,Historical Fiction,War,Italy,World,War,I,Historical Novels,more",1991-01-01,Mark Helprin,Soldier the Great War,4.33,7658,845,38.0,1502.0
"Fiction,Classics,Africa,Travel,Literature,Novels,Historical Fiction,more",1949-01-01,Paul Bowles,The Sheltering Sky,3.89,28866,2214,206.0,813.0
"Fiction,Japan,Japanese,Literature,Classics,Magical,Realism,Literature,Novels,more",1962-06-08,K b Abe,The Woman the Dunes,3.89,34238,3179,193.0,1863.0
"Fiction,Fantasy,Canada,Classics,Novels,Literature,Mystery,more",1975-01-01,Robertson Davies,The Deptford Trilogy,4.32,8132,425,163.0,858.0
"Fiction,Classics,Literature,Novels,Southern,Literary,Fiction,American,more",1961-01-01,Walker Percy,The Moviegoer,3.65,29218,2571,68.0,739.0
"Historical Fiction,Fiction,India,Classics,Historicalth,Century,Literature,more",1966-01-01,Paul Scott,The Jewel the Crown,4.14,5992,456,123.0,147.0
"Fiction,Classics,Humor,British,Literature,Literature,Novels,Comedy,more",1954-01-01,Kingsley Amis,Lucky Jim,3.75,30338,2323,150.0,499.0
"Historical Fiction,Fiction,Holocaust,Historical World,War,I,I,War,Jewish,more",1961-01-01,Leon Uris,Mila,4.31,25990,674,91.0,1403.0
"Nonfiction,Nature,Science,Environment,Classics,Philosophy,Essays,more",1949-01-01,Aldo Leopold,Sand County Almanac and Sketches Here and There,4.3,33035,2180,66.0,783.0
"Poetry,Classics,Literature,Fiction,American,Literary,Fiction,Anthologies,more",1991-10-01,Cummings,Cummings Complete Poems,4.35,21368,242,273.0,3903.0
"Classics,Fiction,German,Literature,Historical Fiction,War,Germany,Romance,more",1936-01-01,Erich Maria Remarque,Three Comrades,4.48,35582,1220,191.0,5460.0
"Fiction,Classics,Thriller,Horror,Adventure,Literature,Novels,more",1970-01-01,James Dickey,Deliverance,3.89,32885,1676,125.0,195.0
"History,Philosophy,Nonfiction,Classics,Sociology,German,Literature,World,History,more",1918-01-01,Oswald Spengler,The Decline the West,4.06,2027,180,67.0,526.0
"Fiction,Classics,New,York,American,Novels,Literature,Contemporary,more",1964-01-01,Hubert Selby Jr,Last Exit Brooklyn,3.92,27749,1621,37.0,2172.0
"Short,Stories,Fiction,Classics,Literature,American,Literary,Fiction,The,United,States,Of,America,more",1978-01-01,John Cheever,The Stories John Cheever,4.26,15319,867,289.0,969.0
"Plays,Classics,Drama,Historical Fiction,Fiction,Literature,School,more",1960-01-01,Robert Bolt,Man for All Seasons Play Two Acts,3.89,14252,628,63.0,45.0
"Fiction,German,Literature,Classics,Novels,Germany,Literature,Nobel,Prize,more",1963-01-01,Heinrich B ll,The Clown,3.94,29531,2022,596.0,1560.0
"Fiction,Contemporary,Canada,Novels,Literature,Literary,Fiction,Classics,more",1991-01-01,Douglas Coupland,Generation Tales for Accelerated Culture,3.74,29281,1339,84.0,4530.0
"Fiction,Classics,Russia,Russian,Literature,Historical Fiction,Literature,War,more",1928-01-01,Mikhail Sholokhov,And Quiet Flows the Don,4.1,12434,574,274.0,456.0
"Fiction,Feminism,Classics,Womens,Novels,Contemporary,Literature,more",1977-05-01,Marilyn French,The Womens Room,3.99,8996,726,44.0,254.0
"Fiction,Russia,Classics,Historical Fiction,Russian,Literature,War,Literature,more",1960-01-01,Vasily Grossman,Life and Fate,4.45,13506,1562,52.0,851.0
"Historical Fiction,Art,Fiction,Classics,Historical Biography,Memoir,Novels,more",1934-01-01,Irving Stone,Lust for Life,4.26,29479,1950,92.0,1249.0
"Classics,Fiction,Literature,Historical Fictionth,Century,British,Literature,Novels,more",1915-03-17,Ford Madox Ford,The Good Soldier,3.68,27106,2146,411.0,334.0
"Poetry,Classics,Feminism,Fiction,Womens,American,Literature,more",1956-01-01,Edna St Vincent Millay,Collected Poems,4.24,8512,190,336.0,1033.0
"Short,Stories,Fiction,Classics,Literature,Southern,Gothic,Southern,American,more",1965-01-01,Flannery Connor,Everything That Rises Must Converge Stories,4.23,21061,1595,198.0,4879.0
"Fiction,Humor,Short,Stories,Literature,American,Contemporary,Adult,Fiction,more",1985-01-01,Garrison Keillor,Lake Wobegon Days,3.64,8129,663,298.0,801.0
"Fiction,Polish,Literature,Classics,School Poland,Novels,Literature,more",1937-10-01,Witold Gombrowicz,Ferdydurke,3.78,18625,1312,102.0,941.0
"Fiction,Classics,War,Novels,American,Psychology,Literature,more",1978-12-12,William Wharton,Birdy,4.02,7594,409,34.0,248.0
"Fiction,Classics,Fantasy,Adventure,Historical Fiction,Literature,Novels,more",1933-01-01,James Hilton,Lost Horizon,3.95,23058,2118,192.0,251.0
"Classics,Literature,Novels,American,Erotica,The,United,States,Of,America,Literary,Fiction,more",1939-02-01,Henry Miller,Tropic Capricorn,3.81,20391,887,736.0,4863.0
"History,Nonfiction,Biography,Memoir,Religion,Spirituality,Philosophy,more",1932-01-01,John Neihardt,Black Elk Speaks Being the Life Story Holy Man the Oglala Sioux,4.12,17695,986,96.0,45.0
"Fiction,Jewish,Classics,Historical Fiction,Judaism,Religion,Literature,more",1969-01-01,Chaim Potok,The Promise,4.18,13799,770,54.0,1667.0
"Historical Fiction,Fiction,Historical Classics,Romance,Novels,Historical Romance,more",1972-01-01,Taylor Caldwell,Captains and the Kings The Story American Dynasty,4.14,19341,442,142.0,501.0
"Plays,Drama,Fiction,Classics,Theatre,Historical Fiction,School,more",1993-01-01,Tom Stoppard,Arcadia,4.14,23251,1274,121.0,966.0
"Feminism,Nonfiction,Sociology,Psychology,Womens,Gender,Gender,Studies,more",1990-01-01,Naomi Wolf,The Beauty Myth,3.91,29152,2101,44.0,1410.0
"Historical Fiction,Fiction,Romance,Historical Classics,Medieval,British,Literature,more",1954-01-01,Anya Seton,Katherine,4.2,34012,2340,45.0,860.0
"Fiction,France,Classics,French,Literature,Literature,Novelsth,Century,more",1938-01-01,Louis Ferdinand C line,Death the Installment Plan,4.21,8563,662,157.0,2419.0
"Fiction,Classics,Ireland,Irish,Literature,Novels,Humor,Literature,more",1939-03-13,Flann Brien,SwimTwoBirds,3.86,13576,1166,49.0,765.0
"Self,Help,Nonfiction,Psychology,Spirituality,Reference,Health,Religion,more",1939-04-10,Alcoholics Anonymous,Alcoholics Anonymous,4.49,10938,622,154.0,219.0
"Fiction,Mystery,Classics,Noir,Crime,Novels,Thriller,more",1987-01-01,Dashiell Hammett,The Maltese Falcon The Thin Man Red Harvest,4.31,1950,87,530.0,2518.0
"Fiction,Classics,Russia,Russian,Literature,Literature,Historical Fiction,Novels,more",1967-01-01,Aleksandr Solzhenitsyn,Cancer Ward,4.25,16909,992,444.0,3706.0
"Economics,Politics,Philosophy,Nonfiction,History,Classics,Political,Science,more",1944-09-18,Friedrich Hayek,The Road Serfdom,4.16,24064,1741,226.0,1533.0
"Historical Fiction,Fiction,Mythology,Historical Fantasy,Classics,Greek,Mythology,more",1958-01-01,Mary Renault,The King Must Die,3.98,9589,839,30.0,1510.0
"Fiction,Classics,Literature,Novels,Short,Storiesth,Century,British,Literature,more",1999-01-01,Muriel Spark,The Prime Miss Jean Brodie The Girls Slender Means The Drivers Seat The Only Problem,3.8,1683,125,197.0,1138.0
"Fantasy,Science,Fiction,Fiction,Science,Fiction,Fantasy,Novels,Literature,Speculative,Fiction,more",1983-01-01,Gene Wolfe,The Book the New Sun,4.22,4301,240,513.0,3239.0
"Fiction,Classics,American,Literature,Novels,Literary,Fictionth,Century,more",1971-01-01,John Updike,Rabbit Redux,3.81,15891,915,793.0,2283.0
"Science,Philosophy,Nonfiction,History,Sociology,History,Of,Science,Classics,more",1962-01-01,Thomas Kuhn,The Structure Scientific Revolutions,4.03,27736,1659,40.0,602.0
"Historical Fiction,Fiction,Japan,Asia,Historical Asian,Literature,China,more",1995-03-01,Gail Tsukiyama,The Samurais Garden,4.15,26629,2602,14.0,1379.0
"Historical Fiction,Fiction,Historical American,History,Classics,Novels,Adventure,more",1978-01-01,James Michener,Chesapeake,4.21,26055,1085,475.0,3162.0
"Philosophy,Nonfiction,Spirituality,Religion,Taoism,Self,Help,Psychology,more",1992-01-01,Benjamin Hoff,The Tao Pooh and The Piglet,4.13,13486,627,16.0,528.0
"Nonfiction,Memoir,Biography,Science,History,Biography,Memoir,Space,more",1998-01-01,Homer Hickam,Rocket Boys,4.19,22560,2254,31.0,639.0
"Psychology,Philosophy,Nonfiction,Science,History,Religion,Anthropology,more",1976-01-01,Julian Jaynes,The Origin Consciousness the Breakdown the Bicameral Mind,4.26,5532,702,9.0,162.0
"Education,Nonfiction,Philosophy,Politics,Theory,Social,Justice,Teaching,more",1968-01-01,Paulo Freire,Pedagogy the Oppressed,4.3,35424,2474,131.0,1267.0
